CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2293	3926	5	0.9081	32.051
564	2125	5	0.8287	161.069
1911	7013	5	0.8787	0.000
676	2109	5	0.8995	18.006
2238	3149	5	0.9723	17.025
4496	4626	9	0.8199	-17.027
4496	7091	9	0.8782	-0.000
2530	4496	9	0.8968	0.000
2530	4626	9	0.8163	-17.026
2530	7091	9	0.8554	0.000
4626	7091	9	0.8073	17.026
4070	4363	11	0.85	58.005
1810	4115	11	0.8465	103.132
1810	2498	11	0.876	0.106
2310	2498	11	0.8659	-67.990
2498	5249	11	0.8353	39.957
2190	2498	11	0.8755	-85.999
4115	4638	11	0.8389	-35.037
4638	5249	11	0.8891	-28.031
4363	5249	11	0.8536	-18.011
5306	5674	11	0.8872	214.170
2190	4363	11	0.8742	-28.032
1810	2190	11	0.8813	86.106
2310	5249	11	0.8829	-28.032
5249	5674	11	0.9273	-0.000
2190	4115	11	0.8943	17.026
2498	4638	11	0.8362	67.988
5306	6593	11	0.8383	21.978
1810	4070	11	0.8887	0.069
2310	4363	11	0.8357	-10.022
2498	4363	11	0.8266	57.968
4638	5674	11	0.8836	-28.031
1810	2310	11	0.8883	68.096
1810	5306	11	0.8691	-174.106
4115	4363	11	0.8248	-45.058
2498	4115	11	0.8466	103.026
1810	4638	11	0.8399	68.095
1810	5249	11	0.8473	40.064
4363	4918	11	0.8062	0.035
4070	5249	11	0.8476	39.994
2310	4115	11	0.8891	35.036
2498	4070	11	0.8826	-0.037
2190	5306	11	0.8756	-260.212
4070	5306	11	0.8609	-174.176
2190	4638	11	0.8589	-18.011
4115	5674	11	0.8854	-63.069
2190	4070	11	0.9244	-86.036
4070	5674	11	0.9135	39.994
4115	5306	11	0.8403	-277.238
4115	5249	11	0.8283	-63.069
2190	2310	11	0.9209	-18.010
2310	4638	11	0.8628	-0.001
2310	5674	11	0.9359	-28.033
2498	5674	11	0.8823	39.957
4070	4115	11	0.887	103.063
2190	5674	11	0.9181	-46.042
2498	5306	11	0.8265	-174.213
4070	4638	11	0.8433	68.025
2310	4070	11	0.9093	-68.027
1810	5674	11	0.8922	40.063
2190	5249	11	0.8679	-46.042
4363	5674	11	0.8812	-18.011
